Municipality,School,Organisation number,School year,Grade,Measure type,Measure,Value,Uncertainty ±,Suppressed,Source URL
Sola,Dysjaland skule,975275566,2022-23,8,National test,lesing,49,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,National test,lesing,54,2.5,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,National test,regning,50,2.6,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,9,National test,regning,55,2.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,8,National test,engelsk,50,2.8,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,lesing,47,3.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,regning,49,3.8,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2022-23,5,National test,engelsk,47,2.7,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,lesing,46,2.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,National test,lesing,55,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,regning,47,2.2,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,9,National test,regning,56,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,8,National test,engelsk,50,2.1,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,lesing,42,3.3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,regning,46,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2023-24,5,National test,engelsk,49,3.4,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,8,National test,lesing,46,2.3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,9,National test,lesing,50,3,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,8,National test,regning,48,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
Sola,Dysjaland skule,975275566,2024-25,9,National test,regning,52,2.9,False,https://skoleoversikten.no/skoler/975275566/dysjaland-skule
