id,municipality,school,ownership,ownershipCategory,grades,specialSchool,pupils,registryUpdated,testGrade,testYear,reading,maths,english,readingUncertainty,mathsUncertainty,englishUncertainty,surveyGrade,wellbeing,wellbeingYear,bullying,bullyingYear,bullyingStatus,pupilsPerTeacher,teacherRatioYear,grade10Points,pointsYear,notes,sourceUrl,organisationNumber,showOnMap,excelRowVisible,latitude,longitude,address,sourceWorkbookRow
977506123,Stavanger,Lassa skole,Offentlig,public,1–7,False,327,2026-09-13,5,2025-26,54,56,55,2.4,2.4,2.8,7,4,2025-26,19.6,2025-26,Published,18.13,2025-26,,,,https://skoleoversikten.no/skoler/977506123/lassa-skole,977506123,True,True,58.95744,5.6947,"Rektor Berntsens gate 9, 4022 STAVANGER",7
874611522,Stavanger,Tjensvoll skole,Offentlig,public,1–7,False,365,2026-09-13,5,2025-26,53,56,54,2.5,2.8,2.5,7,4.3,2025-26,8.9,2025-26,Published,13.9,2025-26,,,,https://skoleoversikten.no/skoler/874611522/tjensvoll-skole,874611522,True,True,58.95134,5.70436,"Tjensvollveien 54, 4021 STAVANGER",8
990180253,Sandnes,Buggeland skole,Offentlig,public,1–7,False,460,2026-08-12,5,2025-26,52,56,52,2,2.3,1.9,7,4.2,2025-26,7.5,2025-26,Published,13.06,2025-26,,,,https://skoleoversikten.no/skoler/990180253/buggeland-skole,990180253,True,True,58.81477,5.75449,"Buggelandskogen 5, 4324 SANDNES",9
913461746,Stavanger,Norlights montessoriskole Stavanger AS,Privat,private,1–10,False,60,2026-09-13,5,2022-23,50,56,58,7.3,5.2,4.6,7,4,2024-25,,,Not available,9.34,2025-26,49.7,2025-26,Academic results use older published year; Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/913461746/norlights-montessoriskole-stavanger-as,913461746,True,True,58.89334,5.72333,"Forusbeen 35, 4034 STAVANGER",10
874610852,Sandnes,Høle barne- og ungdomsskule,Offentlig,public,1–10,False,97,2026-09-13,5,2025-26,50,56,57,4.4,4.5,6.3,7,4.3,2025-26,,,Suppressed,8.55,2025-26,40.9,2025-26,,https://skoleoversikten.no/skoler/874610852/hole-barne-og-ungdomsskule,874610852,True,True,58.89687,6.01865,"Apalstøveien 84, 4308 SANDNES",11
974611570,Stavanger,Hafrsfjord skole,Offentlig,public,1–7,False,324,2026-08-12,5,2025-26,49,56,53,2.7,2.4,2.9,7,4.2,2025-26,20.9,2024-25,Suppressed,14.06,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/974611570/hafrsfjord-skole,974611570,True,True,58.94306,5.65594,"Madlasandnes 11, 4045 HAFRSFJORD",12
974611538,Stavanger,Tasta skole,Offentlig,public,1–7,False,373,2026-09-13,5,2025-26,54,54,51,2.7,3.1,3.2,7,4.4,2025-26,12.8,2024-25,Suppressed,14.1,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/974611538/tasta-skole,974611538,False,False,58.98373,5.67992,"Randabergveien 165, 4027 STAVANGER",13
975289249,Stavanger,Finnøy skule,Offentlig,public,1–10,False,324,2026-09-13,5,2025-26,53,54,50,3,3.6,3.3,7,4.1,2025-26,20.0,2024-25,Suppressed,15.39,2025-26,44.8,2025-26,Bullying uses older published year,https://skoleoversikten.no/skoler/975289249/finnoy-skule,975289249,False,False,59.17441,5.87132,"Hagabakken 1, 4160 FINNØY",14
984696124,Sandnes,Sørbø skole,Offentlig,public,1–7,False,577,2026-09-13,5,2025-26,51,54,54,1.9,2.3,2.2,7,4.4,2025-26,9.9,2025-26,Published,15.62,2025-26,,,,https://skoleoversikten.no/skoler/984696124/sorbo-skole,984696124,True,True,58.82558,5.73013,"Haugen 27, 4323 SANDNES",15
975275604,Sola,Røyneberg skole,Offentlig,public,1–7,False,314,2026-09-13,5,2025-26,50,54,49,2.3,3.1,3,7,4.4,2025-26,15.7,2025-26,Published,18.47,2025-26,,,,https://skoleoversikten.no/skoler/975275604/royneberg-skole,975275604,False,False,58.90446,5.66542,"Myklaberglia 21, 4052 RØYNEBERG",16
